" was not delivered nor scanned"," was not delivered nor scanned"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package."
"1 Day Freight","1 Day Freight"
"2 Day","2 Day"
"2 Day AM","2 Day AM"
"2 Day Freight","2 Day Freight"
"2Day","2Day"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","3 Day Freight"
"3 Day Select","3 Day Select"
"Access ID","Access ID"
"Access License Number","Access License Number"
"Account ID","Account ID"
"Account Number","Account Number"
"Additional Protection Configuration Value","Additional Protection Configuration Value"
"Additional Protection Enabled","Additional Protection Enabled"
"Additional Protection Min Subtotal","Additional Protection Min Subtotal"
"Additional Protection Value","Additional Protection Value"
"Additional Protection Value Rounding Method","Additional Protection Value Rounding Method"
"Adult","Adult"
"Adult Signature Required","Adult Signature Required"
"Allowed Methods","Phương thức được cho phép"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges."
"Bound Printed Matter","Bound Printed Matter"
"Break bulk economy","Break bulk economy"
"Break bulk express","Break bulk express"
"Business Service Center","Business Service Center"
"Calculate Handling Fee","Tính tóan phí xử lý"
"Canada Standard","Chuẩn Canada"
"Cannot identify measure unit for %s","Không thể xác định đơn vị đo lường cho %s"
"Cannot identify weight unit for %s","Không thể xác định đơn vị trọng lượng cho %s"
"Cannot retrieve shipping rates","Cannot retrieve shipping rates"
"Centimeters","Centimeters"
"Commercial","Thương mại"
"Configuration","Cấu hình"
"Container","Container"
"Content Type","Content Type"
